# ======================
# NAVIGATION
# ======================
h | Move left | Navigation
l | Move right | Navigation
j | Move down | Navigation
k | Move up | Navigation
gg | Go to beginning of file | Navigation
G | Go to end of file | Navigation
0 | Move to beginning of line | Navigation
^ | Move to first non-blank character | Navigation
$ | Move to end of line | Navigation
w | Move to beginning of next word | Navigation
b | Move to beginning of previous word | Navigation
} | Move to next paragraph | Navigation
{ | Move to previous paragraph | Navigation
% | Jump between matching brackets | Navigation
ve | Select word | Navigation


# ======================
# EDITING
# ======================
i | Insert before cursor | Editing
I | Insert at beginning of line | Editing
a | Append after cursor | Editing
A | Append at end of line | Editing
o | Open new line below | Editing
O | Open new line above | Editing
r<char> | Replace single character | Editing
R | Enter replace mode | Editing
s | Delete character and insert | Editing
cc | Change whole line | Editing
cw | Change word | Editing
C | Change to end of line | Editing
J | Join lines | Editing
\z | Add Word to Dictionary | Editing

# ======================
# FOLDING (BUILT-IN)
# ======================
za | Toggle fold at cursor | Folding
zc | Close fold at cursor | Folding
zo | Open fold at cursor | Folding
zm | Close more folds (increase level) | Folding
zr | Open more folds (reduce level) | Folding
zM | Close all folds in module | Folding
zR | Open all folds in module | Folding

# ======================
# MULTI-LINE / MULTI-CURSOR (PLUGINS OR BUILDS)
# ======================
Shift + V | Select multiple lines | Visual Mode
v | Start visual mode | Visual Mode
viw | Select inner word | Visual Mode
vaw | Select word (with surrounding space) | Visual Mode
Ctrl + U Arrow | Multi Cursor: select next line up | Multiple Cursor
Ctrl + D Arrow | Multi Cursor: select next line down | Multiple Cursor
Ctrl + N | Multi Cursor: select next occurrence | Multiple Cursor
* | Find highlighted word | Select / Search
n | Next occurrence | Select / Search
N | Previous occurrence | Select / Search
CtrL-V the Shtit + i | Select Multi Line | Multiple Cursor
# ======================
# UNDO / REDO
# ======================
u | Undo last change | Undo/Redo
Ctrl-r | Redo last undone change | Undo/Redo
U | Undo all changes on current line | Undo/Redo

# ======================
# FILE & BUFFER
# ======================
:e <file> | Open/edit file | File & Buffer
:e! | Revert/discard changes & reopen file | File & Buffer
:w | Save file | File & Buffer
:w <file> | Save as another file | File & Buffer
:q | Quit | File & Buffer
:q! | Quit without saving | File & Buffer
:qall! | Quit (kill all processes) | File & Buffer
:wq / ZZ | Save and quit | File & Buffer
:x | Write file if changed, then quit | File & Buffer
:bn | Next buffer | File & Buffer
